Instrument,Company Common Name,Investor Full Name,Investor Shares Held,Holdings Pct Of Traded Shares Held,Close Price
BG,,"Old West Investment Management, LLC",133610,0.0689,
BG,,DWS International GmbH,132323,0.0682,
BG,,Swedbank Robur Fonder AB,131411,0.0677,
BG,,"LMCG Investments, LLC",129790,0.0669,
BG,,Universal-Investment-Gesellschaft mbH,123253,0.0635,
BG,,National Bank of Canada,121208,0.0625,
BG,,"Arrowstreet Capital, Limited Partnership",121073,0.0624,
BG,,"Adage Capital Management, L.P.",120800,0.0623,
BG,,Capital International Ltd.,120758,0.0622,
BG,,Florida State Board of Administration,119321,0.0615,
BG,,Garros (Julio),118846,0.0613,
BG,,J.P. Morgan Securities plc,116553,0.0601,
BG,,"MFP Investors, LLC",115000,0.0593,
BG,,"Ensign Peak Advisors, Inc.",114613,0.0591,
BG,,State Street Investment Management Ireland,113270,0.0584,
BG,,SEI Investments Management Corporation,113131,0.0583,
BG,,Jennison Associates LLC,112699,0.0581,
BG,,"SG Americas Securities, L.L.C.",111819,0.0576,
BG,,FIL Investment Management (Australia) Limited,110187,0.0568,
BG,,Zürcher Kantonalbank (Asset Management),108119,0.0557,
BG,,Stephens Capital Management,106444,0.0549,
BG,,State Street Investment Management (UK),105580,0.0544,
BG,,New York State Teachers' Retirement System,103320,0.0533,
BG,,Cardano Asset Management NV,101272,0.0522,
BG,,"Goldman Sachs & Company, Inc.",100227,0.0517,
BG,,BlackRock Investment Management (Australia) Ltd.,100179,0.0516,
BG,,Zurich Insurance Group,91867,0.0473,
BG,,State of Wisconsin Investment Board,91807,0.0473,
BG,,"American Century Investment Management, Inc.",91446,0.0471,
BG,,Podwika (Joseph A),91398,0.0471,
BG,,"ExodusPoint Capital Management, LP",89994,0.0464,
BG,,"Jane Street Capital, L.L.C.",89373,0.0461,
BG,,Barclays Capital,88662,0.0457,
BG,,J.P. Morgan Securities LLC,88652,0.0457,
BG,,Northern Trust Global Investments,85872,0.0443,
BG,,BI Asset Management Fondsmæglerselskab A/S,85590,0.0441,
BG,,Pictet Asset Management Ltd.,85145,0.0439,
BG,,Asset Management One USA Inc.,84387,0.0435,
BG,,"Asset Management One Co., Ltd.",83834,0.0432,
BG,,"Alps Advisors, Inc.",83648,0.0431,
BG,,Wells Fargo Advisors,81946,0.0422,
BG,,Mirae Asset Global Investments (USA) LLC,81663,0.0421,
BG,,"Principal Street Partners, LLC",81154,0.0418,
BG,,"Waverly Advisors, LLC",79538,0.041,
BG,,"Cutler Capital Management, L.L.C.",79360,0.0409,
BG,,"Susquehanna International Group, LLP",78783,0.0406,
BG,,FIL Investment Management (Hong Kong) Limited,78575,0.0405,
BG,,Sicart Associates LLC,77415,0.0399,
BG,,MBB Public Markets I LLC,77400,0.0399,
BG,,Mudita Advisors LLP,77200,0.0398,
BG,,RBC Capital Markets Wealth Management,75974,0.0392,
BG,,Tennessee Consolidated Retirement System,75762,0.039,
BG,,"Envestnet Asset Management, Inc.",75510,0.0389,
BG,,"Walnut Level Capital, LLC",74045,0.0382,
BG,,Manulife Investment Management (North America) Limited,72588,0.0374,
BG,,"RBC Wealth Management, International",71777,0.037,
BG,,Morgan Stanley Investment Management Inc. (US),71699,0.037,
BG,,Barometer Capital Management Inc.,70700,0.0364,
BG,,ASR Vermogensbeheer N.V.,70124,0.0361,
BG,,"Bruce & Company, Inc.",70000,0.0361,
BG,,Amundi Deutschland GmbH,69699,0.0359,
BG,,"Gabelli Funds, LLC",69627,0.0359,
BG,,KLP Kapitalforvaltning AS,69399,0.0358,
BG,,Kornitzer Capital Management Inc.,69150,0.0356,
BG,,"Soros Fund Management, L.L.C.",68732,0.0354,
BG,,"Franklin Advisers, Inc.",68732,0.0354,
BG,,"Aldebaran Capital, LLC",67612,0.0348,
BG,,APG Asset Management N.V.,67527,0.0348,
BG,,Sagefield Capital LP,66773,0.0344,
BG,,Chevy Chase Trust Company,66682,0.0344,
BG,,R.I.Vermögensbetreuung AG,65000,0.0335,
BG,,Rockefeller Capital Management,64604,0.0333,
BG,,"American Trust Investment Advisors, LLC",64546,0.0333,
BG,,"Gateway Investment Advisers, LLC",64392,0.0332,
BG,,"Raymond James & Associates, Inc.",64321,0.0332,
BG,,Vanguard Investments Australia Ltd.,63408,0.0327,
BG,,Peak6 Capital Management LLC,62956,0.0324,
BG,,INTECH Investment Management LLC,61722,0.0318,
BG,,Boston Partners,60849,0.0314,
BG,,Amundi Ireland Limited,60388,0.0311,
BG,,"WEDGE Capital Management, L.L.P.",60200,0.031,
BG,,New York State Common Retirement Fund,60195,0.031,
BG,,Colrain Capital LLC,58870,0.0303,
BG,,Osmosis Investment Management UK Ltd,58353,0.0301,
BG,,Fideuram - Intesa Sanpaolo Private Banking S.p.a.,57947,0.0299,
BG,,Illinois Municipal Retirement Fund,57269,0.0295,
BG,,JPMorgan Asset Management U.K. Limited,57050,0.0294,
BG,,Mitsubishi UFJ Trust and Banking Corporation,56214,0.029,
BG,,The Treasurer of the State of North Carolina,55734,0.0287,
BG,,PanAgora Asset Management Inc.,55429,0.0286,
BG,,Allianz Global Investors GmbH,54286,0.028,
BG,,Towle & Co,53755,0.0277,
BG,,Russell Investments Trust Company,53549,0.0276,
BG,,Vanguard Asset Management Ltd,53511,0.0276,
BG,,abrdn Investments Limited,52093,0.0268,
BG,,Lansförsäkringar Fondförvaltning AB,51600,0.0266,
BG,,"Stifel, Nicolaus & Company, Incorporated",51539,0.0266,
BG,,"BlackRock Fund Management Co., Ltd.",51412,0.0265,
BG,,"Apricus Wealth, LLC",50287,0.0259,
BG,,"Nomura Asset Management Co., Ltd.",49850,0.0257,
BG,,CIBC World Markets Corp.,49502,0.0255,
BG,,Eurizon Capital SGR S.p.A.,49100,0.0253,
BG,,BMO Asset Management Inc.,48745,0.0251,
BG,,Michigan Department of Treasury,48700,0.0251,
BG,,TD Asset Management Inc.,47781,0.0246,
BG,,Tredje AP Fonden,47638,0.0246,
BG,,Calvert Research and Management,47385,0.0244,
BG,,Greenwich Wealth Management LLC,47338,0.0244,
BG,,"Moore Capital Management, LP",47246,0.0244,
BG,,New Jersey Division of Investment,46954,0.0242,
BG,,RBC Global Asset Management Inc.,46554,0.024,
BG,,LPL Financial LLC,46141,0.0238,
BG,,Impact Asset Management GmbH,45870,0.0236,
BG,,Northern Trust Fund Managers (Ireland) Limited,45584,0.0235,
BG,,Guggenheim Investments,45426,0.0234,
BG,,ETF Architect,45257,0.0233,
BG,,MidWestOne Bank,45102,0.0232,
BG,,"Mercer Global Advisors, Inc.",43441,0.0224,
BG,,"RBC Dominion Securities, Inc.",43339,0.0223,
BG,,Baring Asset Management Ltd.,42841,0.0221,
BG,,"NewEdge Advisors, LLC",42468,0.0219,
BG,,Barings LLC,41774,0.0215,
BG,,"Daiwa Asset Management Co., Ltd.",41035,0.0212,
BG,,"City National Rochdale, LLC",40428,0.0208,
BG,,"DRW Securities, LLC",39862,0.0205,
BG,,ARCA Fondi SGR S.p.A,39420,0.0203,
BG,,"Capital Group Private Client Services, Inc.",39349,0.0203,
BG,,Walleye Capital LLC,39190,0.0202,
BG,,OnePoint BFG Wealth Partners,39140,0.0202,
BG,,Concorde Investment Management,39126,0.0202,
BG,,DNB Asset Management AS,39105,0.0202,
BG,,Ohio Public Employees Retirement System,39098,0.0202,
BG,,"CIBC Private Wealth Advisors, Inc.",38333,0.0198,
BG,,Czech National Bank,36863,0.019,
BG,,CIBC Asset Management Inc.,36858,0.019,
BG,,Arizona State Retirement System,36797,0.019,
BG,,"Wolverine Trading, LLC",36592,0.0189,
BG,,KBC Group NV,36172,0.0186,
BG,,Hudson Bay Capital Management LP,36143,0.0186,
BG,,Havemeyer Place LP,35994,0.0186,
BG,,Schroder Investment Management Ltd. (SIM),35830,0.0185,
BG,,IndexIQ Advisors LLC,35704,0.0184,
BG,,"Patton Albertson & Miller, LLC",35218,0.0182,
BG,,BNP Paribas Asset Management Europe SAS,34699,0.0179,
BG,,"Campbell & Company, Inc.",34584,0.0178,
BG,,Winship (Henry Ward IV),34473,0.0178,
BG,,"Resona Asset Management Co., Ltd.",34415,0.0177,
BG,,Janus Henderson Investors,34382,0.0177,
BG,,Fjärde AP-Fonden,33454,0.0172,
BG,,Uncommon Cents Investing LLC,33201,0.0171,
BG,,Dayah Capital LLC,33000,0.017,
BG,,Sears (Kellie),31757,0.0164,
BG,,"MetLife Investment Management, LLC",31539,0.0163,
BG,,Pennsylvania Public School Employees Retirement System,31529,0.0163,
BG,,"O'Shaughnessy Asset Management, LLC",31457,0.0162,
BG,,"Northwestern Mutual Capital, LLC",31087,0.016,
BG,,"U.S. Bancorp Asset Management, Inc.",30940,0.0159,
BG,,Shelton Capital Management,30926,0.0159,
BG,,"DWS Investment Management Americas, Inc.",30730,0.0158,
BG,,Goldman Sachs International,30700,0.0158,
BG,,Browner Carol M,30615,0.0158,
BG,,Zenuk Mark N,30512,0.0157,
BG,,"Hightower Advisors, LLC",30373,0.0157,
BG,,Keyridge Asset Management Limited,29921,0.0154,
BG,,TOBAM,29814,0.0154,
BG,,"Lesa Sroufe & Company, Inc.",29706,0.0153,
BG,,AEGON Investment Management B.V.,29195,0.015,
BG,,Northern Trust Asset Management Australia Pty Ltd,29181,0.015,
BG,,BetaShares Capital Ltd.,29111,0.015,
BG,,"&Partners, LLC",29081,0.015,
BG,,"Mirae Asset Global Investments Co., Ltd.",29016,0.015,
BG,,BlackRock Asset Management Deutschland AG,28996,0.0149,
BG,,Incrementum AG,28888,0.0149,
BG,,The Retirement Systems of Alabama,28742,0.0148,
BG,,Janus Henderson Investors (Australia) Institutional Funds Management Ltd,28736,0.0148,
BG,,Mackenzie Financial Corporation,28694,0.0148,
BG,,"Howard Capital Management, Inc.",28184,0.0145,
BG,,"Assetmark, Inc.",28112,0.0145,
BG,,"Inspire Advisors, LLC",27978,0.0144,
BG,,"Evergreen Capital Management, LLC",27945,0.0144,
BG,,AMG National Trust Bank,27578,0.0142,
BG,,DZ Bank AG Deutsche Zentral-Genossenschaftsbank,27500,0.0142,
BG,,Amalgamated Bank Institutional Asset Management & Custody,27474,0.0142,
BG,,"Metis Global Partners, LLC",27088,0.014,
BG,,ProShare Advisors LLC,26685,0.0138,
BG,,"Xponance, Inc.",26634,0.0137,
BG,,"Fruth Investment Management, Inc.",26441,0.0136,
BG,,"Catalyst Capital Advisors, LLC",26217,0.0135,
BG,,HRK LUNIS AG,26000,0.0134,
BG,,SG Value Partners AG,26000,0.0134,
BG,,Cerity Partners LLC,25816,0.0133,
BG,,"Westfield Capital Management Company, L.P.",25608,0.0132,
