"","Instrument","Company.Common.Name","Deal.Permid","Loan.Dates..Announcement.Date","Loan.Dates..Financial.Close.Date.of.Loan.Package","Maturity..Maturity.Date","Loan.Type","Use.of.Proceeds","Loan.Repayment..Type","Loans.Issuer.Borrower.Ultimate.Parent.Name.Full","Loan.Package.Amount","Number.of.all.Managers..inc..Int.l.Co.Managers","All.Managers..inc..Int.l.Co.Managers..Parent..Full.Name.","All.Managers..inc..Int.l.Co.Managers..Parent..Code.","All.Loans.Manager.Roles","Loan.Manager.Commitment.Amount"
"26",4296555324,"Cargill Inc",154083409487,"1999-12-08","1999-12-08","2000-12-06","Revolving Credit Facility","Acquisition Finance",NA,"Cargill Inc",3.5e+08,22,"Credit Agricole Corporate & Investment Bank","CREDIT-AGRI-CIB","Participant",15909090.9090909
"27",4296555324,"Cargill Inc",154083411438,"1999-12-08","1999-12-08","2004-12-08","Revolving Credit Facility","Standby/CP Support","Bullet","Cargill Inc",6.5e+08,40,"UBS","UBS-BANK","Participant",16250000
"28",4296555324,"Cargill Inc",154083415363,"2000-09-29","2000-09-29","2001-09-28","Revolving Credit Facility","General Corporate Purpose",NA,"Cargill Inc",8e+08,25,"Deutsche Bank","DEUTSCHE-BANK","Participant",3.2e+07
"29",4296555324,"Cargill Inc",154083415364,"2000-09-29","2000-09-29","2002-12-15","Revolving Credit Facility","Refinancing","Bullet","Cargill Inc",8e+08,5,"Mizuho Financial Group","MIZUHO-FINAN","Participant",1.6e+08
"30",4296555324,"Cargill Inc",154083419478,"2001-05-17","2001-05-17","2006-05-17","Revolving Credit Facility","Future Acquisitions","Bullet","Cargill Inc",5e+08,10,"Mizuho Financial Group","MIZUHO-FINAN","Participant",5e+07
"31",4296555324,"Cargill Inc",154083419960,"2001-11-07",NA,NA,"Bridge Loan","General Corporate Purpose",NA,"Cargill Inc",1.85e+08,23,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Participant",8043478.26086957
"32",4296555324,"Cargill Inc",154083420003,"2001-05-17","2001-05-17","2006-11-17","Term Loan","Project Finance","Amortizing","Cargill Inc",5e+08,20,"NatWest","NATWEST-GRP","Participant",2.5e+07
"33",4296555324,"Cargill Inc",154083422783,"2001-10-30","2001-10-30","2006-10-30","Term Loan","General Corporate Purpose","Amortizing","Cargill Inc",38437690.6131379,19,"RBC Capital Markets","RBC-CAP-MKTS","Participant",2023036.34805989
"34",4296555324,"Cargill Inc",154083422784,"2001-10-30","2001-10-30","2006-10-30","Revolving Credit Facility","Project Finance","Bullet","Cargill Inc",38437690.6131379,19,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Participant",2023036.34805989
"35",4296555324,"Cargill Inc",154083424486,"2001-10-16","2001-11-28","2008-05-28","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",3.1e+08,15,"UBS","UBS-BANK","Participant",20666666.6666667
"36",4296555324,"Cargill Inc",154083426662,"2001-10-16","2001-11-28","2009-12-01","Term Loan","General Corporate Purpose","Amortizing","Cargill Inc",3.1e+08,34,"Societe Generale SA","SOC-GEN","Participant",9117647.05882353
"37",4296555324,"Cargill Inc",154083427668,"2002-06-05","2002-06-05","2009-06-05","Revolving Credit Facility","General Corporate Purpose",NA,"The Dow Chemical Co",5e+07,3,"UBS","UBS-BANK","Participant",16666666.6666667
"38",4296555324,"Cargill Inc",154083427977,"2002-06-14","2002-06-14","2007-06-14","Revolving Credit Facility","General Corporate Purpose",NA,"Cargill Inc",3.4e+07,5,"Westpac Banking Corp","WESTPAC","Participant",6800000
"39",4296555324,"Cargill Inc",154083427978,"2002-06-14","2002-06-14","2007-06-14","Term Loan","Future Acquisitions",NA,"Cargill Inc",3.4e+07,38,"Landesbank Hessen-Thueringen Girozentrale","HESSEN-T","Lead Manager",894736.842105263
"40",4296555324,"Cargill Inc",154083432173,"2003-02-21","2003-02-21","2006-05-17","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",471100000,10,"HSBC Holdings PLC","SAM-CAPEL-HSBC","Lead Manager",47110000
"41",4296555324,"Cargill Inc",154083432174,"2003-02-21","2003-02-21","2006-11-17","Term Loan","Pay Fees And Expenses","Amortizing","Cargill Inc",471100000,22,"Mizuho Financial Group","MIZUHO-FINAN","Lead Manager",21413636.3636364
"42",4296555324,"Cargill Inc",154083438017,"2003-10-01","2003-11-05","2004-11-03","Revolving Credit Facility","Working Capital",NA,"Cargill Inc",2.5e+09,17,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Lead Manager",147058823.529412
"43",4296555324,"Cargill Inc",154083438018,"2003-10-01","2003-11-05","2008-11-08","Revolving Credit Facility","Refinancing",NA,"Cargill Inc",2.5e+09,34,"Leonia PLC","LEONPL","Lead Manager",73529411.7647059
"44",4296555324,"Cargill Inc",154083448755,"2004-05-14","2004-05-14","2007-07-14","Term Loan","Bridging Loan",NA,"The Dow Chemical Co",2.1e+08,12,"NatWest","NATWEST-GRP","Lead Manager",17500000
"45",4296555324,"Cargill Inc",154083449121,"2004-10-07","2004-11-05","2005-11-04","364 Day Revolver","General Corporate Purpose",NA,"Cargill Inc",3e+09,2,"Sumitomo Mitsui Financial Group Inc","SUM-MIT-FIN-GRP","Lead Manager",1.5e+09
"46",4296555324,"Cargill Inc",154083449122,"2004-10-07","2004-11-05","2008-11-05","Revolving Credit Facility","Pay Fees And Expenses",NA,"Cargill Inc",3e+09,6,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Lead Manager",5e+08
"47",4296555324,"Cargill Inc",154083451774,"2004-10-22","2004-10-22","2005-01-20","Revolving Credit Facility","Working Capital",NA,"Cargill Inc",1.6e+08,25,"Sumitomo Mitsui Financial Group Inc","SUM-MIT-FIN-GRP","Lead Manager",6400000
"48",4296555324,"Cargill Inc",154083452497,"2005-01-21","2005-02-18","2010-02-18","Revolving Credit Facility","Refinancing","Bullet","Cargill Inc",8.5e+08,38,"TD Securities Inc","TD-SECURITIES","Lead Manager",22368421.0526316
"49",4296555324,"Cargill Inc",154083452498,"2005-01-21","2005-02-18","2010-02-18","Term Loan A","Leveraged Buyout","Amortizing","Cargill Inc",8.5e+08,2,"Portigon AG","PORTIGON","Lead Manager",4.25e+08
"50",4296555324,"Cargill Inc",154083452499,"2005-01-21","2005-02-18","2012-02-18","Term Loan B","Leveraged Buyout","Amortizing","Cargill Inc",8.5e+08,19,"Arab International Bank","ARAB-INTL","Manager",44736842.1052632
"51",4296555324,"Cargill Inc",154083464679,"2005-10-07","2005-11-04","2006-11-03","364 Day Revolver","Pay Fees And Expenses",NA,"Cargill Inc",3.5e+09,16,"ING","ING","Manager",218750000
"52",4296555324,"Cargill Inc",154083464680,"2005-10-07","2005-11-04","2010-11-04","Revolving Credit Facility","Acquisition Finance",NA,"Cargill Inc",3.5e+09,28,"Precision Capital SA","PRECISION-CAP","Manager",1.25e+08
"53",4296555324,"Cargill Inc",154083480644,"2006-11-02","2006-12-01","2011-12-01","Term Loan A","Refinancing","Amortizing","Cargill Inc",1.462e+09,21,"BMO Capital Markets","BMO-CAPITAL","Manager",69619047.6190476
"54",4296555324,"Cargill Inc",154083480645,"2006-11-02","2006-12-01","2013-12-01","Term Loan B","Pay Fees And Expenses","Amortizing","Cargill Inc",1.462e+09,1,"Lloyds Bank","LLOYDS-PLC","Manager",1.462e+09
