Instrument,Company Common Name,Investor Full Name,Investor Shares Held,Holdings Pct Of Traded Shares Held,Close Price
9988.HK,Alibaba Group Holding Ltd,SoftBank Group Corp,630790344,3.2867,16.6475169156134
9988.HK,,"The Vanguard Group, Inc.",620327095,3.2322,
9988.HK,,"BlackRock Institutional Trust Company, N.A.",530627880,2.7648,
9988.HK,,Norges Bank Investment Management (NBIM),394989373,2.0581,
9988.HK,,BlackRock Asset Management Ireland Limited,196241549,1.0225,
9988.HK,,BlackRock Advisors (UK) Limited,179252076,0.934,
9988.HK,,E Fund Management Co. Ltd.,176027473,0.9172,
9988.HK,,JP Morgan Asset Management,174315481,0.9083,
9988.HK,,Parufam Ltd.,147385672,0.7679,
9988.HK,,Hang Seng Investment Management Ltd.,126311071,0.6581,
9988.HK,,PMH Holding Limited,113539168,0.5916,
9988.HK,,"Geode Capital Management, L.L.C.",101432515,0.5285,
9988.HK,,Fidelity Management & Research Company LLC,86295463,0.4496,
9988.HK,,"Fullgoal Fund Management Co., Ltd.",76947651,0.4009,
9988.HK,,"Dimensional Fund Advisors, L.P.",70040000,0.3649,
9988.HK,,"China Asset Management Co., Ltd.",69456970,0.3619,
9988.HK,,Schroder Investment Management (Hong Kong) Ltd.,55618820,0.2898,
9988.HK,,Fidelity International,51206406,0.2668,
9988.HK,,DWS Investment GmbH,49976654,0.2604,
9988.HK,,Nuveen LLC,49881787,0.2599,
9988.HK,,State Street Investment Management (US),49200626,0.2564,
9988.HK,,"First Eagle Investment Management, L.L.C.",47460048,0.2473,
9988.HK,,CSOP Asset Management Limited,46902929,0.2444,
9988.HK,,APG Asset Management N.V.,46521610,0.2424,
9988.HK,,"Krane Funds Advisors, LLC",42498888,0.2214,
9988.HK,,"Charles Schwab Investment Management, Inc.",40964805,0.2134,
9988.HK,,Robeco Institutional Asset Management B.V.,40116792,0.209,
9988.HK,,Aviva Investors Global Services Limited,39486022,0.2057,
9988.HK,,JPMorgan Asset Management (Asia Pacific) Limited,37254860,0.1941,
9988.HK,,Public Mutual Berhad,36971286,0.1926,
9988.HK,,"ICBC UBS Asset Management Co., Ltd.",36862776,0.1921,
9988.HK,,FIL Investment Management (Hong Kong) Limited,32936272,0.1716,
9988.HK,,BlackRock (Singapore) Limited,32883412,0.1713,
9988.HK,,Capital World Investors,32226974,0.1679,
9988.HK,,California Public Employees' Retirement System,31077144,0.1619,
9988.HK,,HSBC Global Asset Management (UK) Limited,31026678,0.1617,
9988.HK,,State Street Investment Management (UK),28372752,0.1478,
9988.HK,,Schroder Investment Management Ltd. (SIM),28074815,0.1463,
9988.HK,,MFS Investment Management,28020660,0.146,
9988.HK,,Legal & General Investment Management Ltd.,27416997,0.1429,
9988.HK,,Baillie Gifford & Co.,25738136,0.1341,
9988.HK,,Royal London Asset Management Ltd.,25217700,0.1314,
9988.HK,,RBC Global Asset Management (UK) Limited,25062772,0.1306,
9988.HK,,"Zhong Ou Asset Management Co., Ltd.",25047000,0.1305,
9988.HK,,INVESCO Asset Management Limited,23933671,0.1247,
9988.HK,,Northern Trust Global Investments Limited,23752152,0.1238,
9988.HK,,"GF Fund Management Co., Ltd.",23743420,0.1237,
9988.HK,,T. Rowe Price International Ltd,23687596,0.1234,
9988.HK,,BlackRock Investment Management (UK) Ltd.,23521620,0.1226,
9988.HK,,"China Universal Asset Management Co., Ltd.",23247700,0.1211,
9988.HK,,California State Teachers Retirement System,22996033,0.1198,
9988.HK,,"Amundi Asset Management, SAS",22689364,0.1182,
9988.HK,,"Goldman Sachs Asset Management, L.P.",22658377,0.1181,
9988.HK,,UBS Asset Management (UK) Ltd.,22489617,0.1172,
9988.HK,,JPMorgan Asset Management (China) Company Limited.,21911563,0.1142,
9988.HK,,FIL Investment Management (Singapore) Ltd.,21483166,0.1119,
9988.HK,,INVESCO Great Wall Fund Management Co. Ltd.,21351154,0.1112,
9988.HK,,Harris Associates L.P.,20915354,0.109,
9988.HK,,Pictet Asset Management Ltd.,20622312,0.1075,
9988.HK,,UBS Asset Management Switzerland AG,20553444,0.1071,
9988.HK,,Deka Investment GmbH,20038852,0.1044,
9988.HK,,"Lazard Asset Management, L.L.C.",19496225,0.1016,
9988.HK,,"Harvest Fund Management Co., Ltd.",19458417,0.1014,
9988.HK,,"Wellington Management Company, LLP",19220246,0.1001,
9988.HK,,BlackRock Asset Management North Asia Limited,18586978,0.0968,
9988.HK,,DWS Investments UK Limited,18527489,0.0965,
9988.HK,,Capital Research Global Investors,18345500,0.0956,
9988.HK,,JPMorgan Asset Management U.K. Limited,18214241,0.0949,
9988.HK,,abrdn Investments Limited,18062304,0.0941,
9988.HK,,Swedbank Robur Fonder AB,17957776,0.0936,
9988.HK,,Caisse de Depot et Placement du Quebec,17190706,0.0896,
9988.HK,,Franklin Templeton International Services SARL,17029908,0.0887,
9988.HK,,T. Rowe Price Hong Kong Limited,16905840,0.0881,
9988.HK,,Rothschild & Co Asset Management Europe SCS,15986453,0.0833,
9988.HK,,UBS Asset Management (Switzerland),15961900,0.0832,
9988.HK,,Polar Capital LLP,15795270,0.0823,
9988.HK,,Allianz Global Investors Asia Pacific Limited,15755763,0.0821,
9988.HK,,Principal Global Investors (Equity),15320316,0.0798,
9988.HK,,Amundi Japan Ltd.,15153200,0.079,
9988.HK,,Ninety One UK Limited,14279191,0.0744,
9988.HK,,"Pzena Investment Management, LLC",13677219,0.0713,
9988.HK,,Artisan Partners Limited Partnership,13549671,0.0706,
9988.HK,,Wu (Yongming),13401085,0.0698,
9988.HK,,Mirae Asset Global Investments (Hong Kong) Limited,13308474,0.0693,
9988.HK,,Zürcher Kantonalbank (Asset Management),13236019,0.069,
9988.HK,,Tsai (Chung Joseph),12843901,0.0669,
9988.HK,,Eastspring Investments (Singapore) Limited,12505647,0.0652,
9988.HK,,Storebrand Kapitalforvaltning AS,12457167,0.0649,
9988.HK,,"Dacheng Fund Management Co., Ltd.",12173000,0.0634,
9988.HK,,Mediolanum International Funds Limited,12161395,0.0634,
9988.HK,,Nordea Funds Oy,11969164,0.0624,
9988.HK,,China Asset Management (Hong Kong) Limited,11449395,0.0597,
9988.HK,,Templeton Asset Management Ltd.,11316562,0.059,
9988.HK,,China Southern Asset Management Co. Ltd.,10861600,0.0566,
9988.HK,,Wu (Wei),10854160,0.0566,
9988.HK,,Goldman Sachs Asset Management International,10770451,0.0561,
9988.HK,,"Bank of Communications Schroder Fund Management Co., Ltd.",10503794,0.0547,
9988.HK,,RBC Global Asset Management (Asia) Limited,10325841,0.0538,
9988.HK,,Schroder Investment Management (Singapore) Ltd.,10303812,0.0537,
9988.HK,,"T. Rowe Price Associates, Inc.",10005002,0.0521,
9988.HK,,"Tianhong Asset Management Co., Ltd.",9950300,0.0518,
9988.HK,,"Driehaus Capital Management, LLC",9897100,0.0516,
9988.HK,,Vontobel Asset Management AG,9510391,0.0496,
9988.HK,,"Hwabao WP Fund Management Co., Ltd.",9499500,0.0495,
9988.HK,,"Arga Investment Management, LP",9380419,0.0489,
9988.HK,,"AEGON-INDUSTRIAL Fund Management Co., Ltd.",9287164,0.0484,
9988.HK,,Fideuram Asset Management (Ireland) dac,9256885,0.0482,
9988.HK,,"Allspring Global Investments, LLC",9154394,0.0477,
9988.HK,,First Sentier Investments (U.K.) Ltd,8915300,0.0465,
9988.HK,,Baring Asset Management Ltd.,8898470,0.0464,
9988.HK,,"Mirae Asset Global Investments Co., Ltd.",8892105,0.0463,
9988.HK,,"Thornburg Investment Management, Inc.",8807633,0.0459,
9988.HK,,Fidelity Management & Research (Hong Kong) Limited,8743729,0.0456,
9988.HK,,Principal Global Investors (Hong Kong) Limited,8711400,0.0454,
9988.HK,,China Merchants Fund Management Co. Ltd.,8685265,0.0453,
9988.HK,,North of South Capital LLP,8659376,0.0451,
9988.HK,,"Matthews International Capital Management, L.L.C.",8653712,0.0451,
9988.HK,,"Bessemer Trust Company, N.A. (US)",8534887,0.0445,
9988.HK,,SEB Investment Management AB,8312501,0.0433,
9988.HK,,"First Seafront Fund Management Co., Ltd.",8293600,0.0432,
9988.HK,,Candriam Luxembourg S.A.,8279373,0.0431,
9988.HK,,Handelsbanken Kapitalförvaltning AB,8052206,0.042,
9988.HK,,HSBC Global Asset Management (Hong Kong) Limited,7987053,0.0416,
9988.HK,,Fidelity Investments Canada ULC,7846332,0.0409,
9988.HK,,abrdn Asia Limited,7725768,0.0403,
9988.HK,,UBS Fund Management (Switzerland) AG,7723032,0.0402,
9988.HK,,BOCI-Prudential Asset Management Ltd.,7658743,0.0399,
9988.HK,,"Brandes Investment Partners, L.P.",7629139,0.0398,
9988.HK,,"Dimensional Fund Advisors, Ltd.",7618600,0.0397,
9988.HK,,UBS Asset Management (Hong Kong) Limited,7479200,0.039,
9988.HK,,Danske Bank Asset Management,7347930,0.0383,
9988.HK,,"Northern Trust Investments, Inc.",7214689,0.0376,
9988.HK,,"Caixabank Asset Management SGIIC, S.A.U.",6958299,0.0363,
9988.HK,,Capfi Delen Asset Management,6872224,0.0358,
9988.HK,,M&G Investment Management Ltd.,6822840,0.0355,
9988.HK,,Barings (U.K.) Limited,6804668,0.0355,
9988.HK,,Mercer Global Investments Management Ltd,6770164,0.0353,
9988.HK,,Nordea Investment Funds S.A.,6736500,0.0351,
9988.HK,,BNP Paribas Asset Management UK Limited,6502700,0.0339,
9988.HK,,GLG Partners LP,6397147,0.0333,
9988.HK,,Invesco Capital Management LLC,6306789,0.0329,
9988.HK,,Invesco Hong Kong Limited,6276635,0.0327,
9988.HK,,Principal Asset Management (S) Pte Ltd,6219724,0.0324,
9988.HK,,Manulife Investment Management (Hong Kong) Limited,6202119,0.0323,
9988.HK,,Mellon Investments Corporation,6146912,0.032,
9988.HK,,Axiom Investors,6047750,0.0315,
9988.HK,,JPMorgan Asset Management (Taiwan) Limited,6016100,0.0313,
9988.HK,,BlackRock Asset Management Deutschland AG,5986928,0.0312,
9988.HK,,"Bosera Asset Management Co., Ltd.",5837100,0.0304,
9988.HK,,"Yinhua Fund Management Co., Ltd.",5832600,0.0304,
9988.HK,,Vanguard Investments Australia Ltd.,5831965,0.0304,
9988.HK,,"Invesco Advisers, Inc.",5735808,0.0299,
9988.HK,,Foresight Fund Management Company,5709800,0.0298,
9988.HK,,Acadian Asset Management LLC,5687864,0.0296,
9988.HK,,BlackRock Investment Management (Australia) Ltd.,5673956,0.0296,
9988.HK,,BEA Union Investment Management Limited,5655440,0.0295,
9988.HK,,"Sands Capital Management, LLC",5639101,0.0294,
9988.HK,,Orient Securities Asset Management Company Limited,5601100,0.0292,
9988.HK,,Ruffer LLP,5522944,0.0288,
9988.HK,,"Shenzhen Origin Asset Management Co., Ltd.",5500600,0.0287,
9988.HK,,Cardano Asset Management NV,5370788,0.028,
9988.HK,,RWC Asset Advisors (US) LLC,5316220,0.0277,
9988.HK,,BNP Paribas Asset Management Europe SAS,5186088,0.027,
9988.HK,,"Research Affiliates, LLC",5141500,0.0268,
9988.HK,,abrdn Investment Management Limited,4888597,0.0255,
9988.HK,,Degroof Petercam Asset Management,4870735,0.0254,
9988.HK,,"Penghua Fund Management Co., Ltd.",4735912,0.0247,
9988.HK,,"HuaAn Fund Management Co., Ltd.",4703500,0.0245,
9988.HK,,Amundi (UK),4696516,0.0245,
9988.HK,,Janus Henderson Investors,4639352,0.0242,
9988.HK,,DNB Asset Management AS,4584082,0.0239,
9988.HK,,Allianz Global Investors GmbH,4459268,0.0232,
9988.HK,,CPR Asset Management,4455498,0.0232,
9988.HK,,"Franklin Advisers, Inc.",4340890,0.0226,
9988.HK,,KLP Kapitalforvaltning AS,4221900,0.022,
9988.HK,,Manulife Investment Management (North America) Limited,4169983,0.0217,
9988.HK,,Hermes Investment Management Ltd.,4149004,0.0216,
9988.HK,,"Seafarer Capital Partners, LLC",4140000,0.0216,
9988.HK,,Foord Asset Management (Singapore) Pte. Ltd.,4138390,0.0216,
9988.HK,,AXA Investment Managers UK Ltd.,4130800,0.0215,
9988.HK,,PensionDanmark A/S,4073041,0.0212,
9988.HK,,"William Blair Investment Management, LLC",4070604,0.0212,
9988.HK,,"Templeton Investment Counsel, L.L.C.",4045283,0.0211,
9988.HK,,Boston Partners,4018700,0.0209,
9988.HK,,Ping An Fund Management Company Limited,4013800,0.0209,
9988.HK,,Artemis Investment Management LLP,3989300,0.0208,
9988.HK,,Lansförsäkringar Fondförvaltning AB,3969954,0.0207,
9988.HK,,"Putnam Investment Management, L.L.C.",3906800,0.0204,
9988.HK,,Banque de Luxembourg Investments,3858200,0.0201,
9988.HK,,BMO Asset Management Inc.,3837792,0.02,
9988.HK,,Lion Global Investors Limited,3778030,0.0197,
9988.HK,,Voya Investment Management LLC,3775495,0.0197,
9988.HK,,Franklin Templeton Investment Management Ltd.,3727865,0.0194,
9988.HK,,Robeco Hong Kong Limited,3691456,0.0192,
9988.HK,,"Huatai-PineBridge Fund Management Co., Ltd.",3633076,0.0189,
9988.HK,,"Hongde Fund Management Co., Ltd.",3595500,0.0187,
9988.HK,,abrdn Alternative Investments Limited,3569723,0.0186,
9988.HK,,UBS Asset Management (Singapore) Ltd.,3499084,0.0182,
9988.HK,,"Exchange Traded Concepts, LLC",3487900,0.0182,
9988.HK,,AEGON Investment Management B.V.,3420438,0.0178,
9988.HK,,AllianceBernstein L.P.,3384796,0.0176,
9988.HK,,CI Global Asset Management,3382186,0.0176,
9988.HK,,Union Investment Luxembourg S.A.,3313956,0.0173,
9988.HK,,Raiffeisen Kapitalanlage-Gesellschaft mbH,3271140,0.017,
9988.HK,,Anima SGR S.p.A.,3225047,0.0168,
9988.HK,,Columbia Threadneedle Investments (US),3190068,0.0166,
9988.HK,,Eurizon Capital S.A.,3185059,0.0166,
9988.HK,,Aviva Investors Asia Pte Ltd.,3135020,0.0163,
9988.HK,,DWS Investments Hong Kong Limited,3107900,0.0162,
9988.HK,,SEI Investments Management Corporation,3052289,0.0159,
9988.HK,,"Franklin Templeton Sealand Fund Management Co., Ltd.",3025900,0.0158,
9988.HK,,Eurizon Capital SGR S.p.A.,2947677,0.0154,
9988.HK,,Lannebo Kapitalförvaltning AB,2932028,0.0153,
9988.HK,,Morgan Stanley Investment Management Inc. (US),2849500,0.0148,
9988.HK,,"Schafer Cullen Capital Management, Inc.",2844000,0.0148,
9988.HK,,DJE Kapital AG,2778401,0.0145,
9988.HK,,Goldman Sachs International,2757153,0.0144,
9988.HK,,Hermes Capital FIZ,2754441,0.0144,
9988.HK,,Antipodes Partners Limited,2709108,0.0141,
9988.HK,,Schroder Investment Management North America Inc.,2678324,0.014,
9988.HK,,Vanguard Global Advisers LLC,2662995,0.0139,
9988.HK,,Skagen AS,2652926,0.0138,
9988.HK,,"KB Asset Management Co., Ltd.",2596372,0.0135,
9988.HK,,Florida State Board of Administration,2546570,0.0133,
9988.HK,,Credit Mutuel Asset Management,2486852,0.013,
9988.HK,,DBX Advisors LLC.,2404595,0.0125,
9988.HK,,Rathbone Unit Trust Management Limited,2364002,0.0123,
9988.HK,,Foord Asset Management (Pty) Limited,2360900,0.0123,
9988.HK,,Nomura Investment Management Business Trust,2335200,0.0122,
9988.HK,,CTBC Investments Co. Ltd.,2288636,0.0119,
9988.HK,,Bin Yuan Capital Limited,2235600,0.0116,
9988.HK,,Newton Investment Management Ltd.,2216024,0.0115,
9988.HK,,UBS Asset Management (Americas) LLC,2158958,0.0112,
9988.HK,,First Sentier Investors (Hong Kong) Limited,2149400,0.0112,
9988.HK,,Gemway Assets SAS,2122000,0.0111,
9988.HK,,Eyb & Wallwitz Vermögensmanagement GmbH,2098000,0.0109,
9988.HK,,Debeka Asset Management GmbH,2090960,0.0109,
9988.HK,,White Oak Capital Management Consultants Llp,2084840,0.0109,
9988.HK,,"Neuberger Berman, LLC",2045036,0.0107,
9988.HK,,Coronation Fund Managers Limited,2044700,0.0107,
9988.HK,,"Sustainable Growth Advisers, LP",2034274,0.0106,
9988.HK,,Harding Loevner LP,2004534,0.0104,
9988.HK,,AGF Investments Inc.,1994442,0.0104,
9988.HK,,"Black Creek Investment Management, Inc.",1958565,0.0102,
9988.HK,,"Guotai Asset Management Co., Ltd.",1920201,0.01,
9988.HK,,An Zhong (AZ) Investment Management Hong Kong Ltd.,1893900,0.0099,
9988.HK,,Bank Julius Bär & Co. AG,1854900,0.0097,
9988.HK,,LBP AM,1836065,0.0096,
9988.HK,,"Taikang Asset Management Co., Ltd.",1805442,0.0094,
9988.HK,,Fiera Capital (UK) Limited,1797052,0.0094,
9988.HK,,"Jarislowsky Fraser, Ltd.",1785700,0.0093,
9988.HK,,"HFT Investment Management Co., Ltd.",1783868,0.0093,
9988.HK,,Eastspring Investments Berhad,1762404,0.0092,
9988.HK,,Jennison Associates LLC,1755655,0.0091,
9988.HK,,"CCB Principal Asset Management Co., Ltd.",1730039,0.009,
9988.HK,,State Street Investment Management (Japan),1700374,0.0089,
9988.HK,,Lombard Odier (Singapore) Ltd.,1695295,0.0088,
9988.HK,,Mackenzie Investments Asia Limited,1666700,0.0087,
9988.HK,,Jyske Bank A/S,1665992,0.0087,
9988.HK,,"Franklin Advisory Services, LLC",1665665,0.0087,
9988.HK,,"Nomura Asset Management Co., Ltd.",1650900,0.0086,
9988.HK,,Platinum Asset Management,1642702,0.0086,
9988.HK,,"Maxwealth Fund Management Co., Ltd.",1637904,0.0085,
9988.HK,,"Altrinsic Global Advisors, LLC",1616205,0.0084,
9988.HK,,Sophus Capital,1604400,0.0084,
9988.HK,,"Polaris Capital Management, LLC",1598400,0.0083,
9988.HK,,Jupiter Asset Management Ltd.,1583624,0.0083,
9988.HK,,"Timefolio Asset Management Co., Ltd.",1582000,0.0082,
9988.HK,,Parametric Portfolio Associates LLC,1577190,0.0082,
9988.HK,,"Capital International, Inc.",1571100,0.0082,
9988.HK,,"Thrivent Asset Management, LLC",1546592,0.0081,
9988.HK,,Putnam Investments Canada ULC,1534000,0.008,
9988.HK,,Nomura Asset Management Taiwan Limited,1532227,0.008,
9988.HK,,C WorldWide Asset Management Fondsmaeglerselskab A/S,1527622,0.008,
9988.HK,,Russell Investments Limited,1506364,0.0078,
9988.HK,,DFA Australia Ltd.,1505417,0.0078,
9988.HK,,Fullerton Fund Management Company Ltd.,1494256,0.0078,
9988.HK,,"Oaktree Capital Management, L.P.",1486527,0.0077,
9988.HK,,"GQG Partners, LLC",1462300,0.0076,
9988.HK,,Eurizon SLJ Capital Limited,1454988,0.0076,
9988.HK,,Sanarus Investment Management LLP,1453700,0.0076,
9988.HK,,Cape Capital AG,1447100,0.0075,
9988.HK,,DWS International GmbH,1403597,0.0073,
9988.HK,,"T. Rowe Price Japan, Inc.",1376747,0.0072,
9988.HK,,Mackenzie Financial Corporation,1356657,0.0071,
9988.HK,,BG Fund Management Luxembourg S.A.,1354000,0.0071,
9988.HK,,S-Bank Fund Management Ltd,1350000,0.007,
9988.HK,,"Huashang Fund Management Co., Ltd.",1331943,0.0069,
9988.HK,,RHB Asset Management Pte. Ltd.,1301700,0.0068,
9988.HK,,Nykredit Bank AS,1284162,0.0067,
9988.HK,,AllianceBernstein Hong Kong Ltd.,1271100,0.0066,
9988.HK,,Daol Asset Management Co. Ltd.,1262800,0.0066,
9988.HK,,"Great Wall Fund Management Co., Ltd.",1261400,0.0066,
9988.HK,,Value Partners Ltd.,1258500,0.0066,
9988.HK,,T. Rowe Price Singapore Private Ltd.,1255944,0.0065,
9988.HK,,PT BNP Paribas Asset Management,1245200,0.0065,
9988.HK,,Old Mutual Investment Group (South Africa) (Pty) Limited,1244031,0.0065,
9988.HK,,Barrow Hanley Global Investors,1235252,0.0064,
9988.HK,,"Rosefinch Fund Management Co., Ltd.",1190100,0.0062,
9988.HK,,"Mitsubishi UFJ Asset Management Co., Ltd.",1173386,0.0061,
9988.HK,,WCM Investment Management,1163604,0.0061,
9988.HK,,HSBC Global Asset Management (Singapore) Limited,1148600,0.006,
9988.HK,,"UBS SDIC Fund Management Co., Ltd.",1120100,0.0058,
9988.HK,,BlackRock (Luxembourg) S.A.,1092504,0.0057,
9988.HK,,HSBC Global Asset Management (France) S.A.,1091300,0.0057,
9988.HK,,Witan Investment Services Limited,1072900,0.0056,
9988.HK,,FIL Pensions Management,1062117,0.0055,
9988.HK,,Tidal Investments LLC,1055556,0.0055,
9988.HK,,NS Partners Ltd.,1051947,0.0055,
9988.HK,,Banque Cantonale Vaudoise,1051500,0.0055,
9988.HK,,BlackRock Fund Advisors,1049260,0.0055,
9988.HK,,Minsheng Royal Fund Management Company Ltd.,1037300,0.0054,
9988.HK,,Goldman Sachs Asset Management B.V.,1015484,0.0053,
9988.HK,,"Truvalue Asset Management Co., Ltd.",1011107,0.0053,
9988.HK,,"Ibercaja Gestión S.G.I.I.C., S.A.",994389,0.0052,
9988.HK,,Sydbank,982824,0.0051,
9988.HK,,EFG Asset Management (UK) Limited,975700,0.0051,
9988.HK,,"Connor, Clark & Lunn Investment Management Ltd.",962020,0.005,
9988.HK,,Columbia Threadneedle Investments (UK),958872,0.005,
9988.HK,,MLC Asset Management,957701,0.005,
9988.HK,,"Samsung Asset Management Co., Ltd.",938278,0.0049,
9988.HK,,"Wanjia Asset Management Co., Ltd.",938000,0.0049,
9988.HK,,Frostrow Capital LLP,917100,0.0048,
9988.HK,,Fidelity Investment Luxembourg S.A.,905584,0.0047,
9988.HK,,Azimut Capital Management Sgr SpA,896490,0.0047,
9988.HK,,1832 Asset Management L.P.,896227,0.0047,
9988.HK,,Sydinvest,881276,0.0046,
9988.HK,,Pictet Asset Management (Singapore) Pte. Ltd.,879000,0.0046,
9988.HK,,"Nuveen Asset Management, LLC",871400,0.0045,
9988.HK,,"BlackRock Financial Management, Inc.",864244,0.0045,
9988.HK,,"Manulife Fund Management Co., Ltd.",861530,0.0045,
9988.HK,,TT International Asset Management Ltd,861200,0.0045,
9988.HK,,Nomura Asset Management Singapore Ltd.,857100,0.0045,
9988.HK,,Veritas Asset Management LLP,853783,0.0044,
9988.HK,,MFS Investment Management Canada Limited,846500,0.0044,
9988.HK,,"HSBC JinTrust Fund Management Co., Ltd.",846237,0.0044,
9988.HK,,Desjardins Global Asset Management,830923,0.0043,
9988.HK,,Neuberger Berman Asset Management Ireland Ltd,829198,0.0043,
9988.HK,,Mercer Investments LLC,823900,0.0043,
9988.HK,,DNCA Investments,822996,0.0043,
9988.HK,,Stefnir hf.,819840,0.0043,
9988.HK,,"AQR Capital Management, LLC",813904,0.0042,
9988.HK,,Nippon Life Global Investors Singapore Limited,813632,0.0042,
9988.HK,,"BNP Paribas Asset Management USA, Inc.",805200,0.0042,
9988.HK,,"AXA-SPDB Investment Managers Co., Ltd.",796900,0.0042,
9988.HK,,"BlackRock Advisors, LLC",788472,0.0041,
9988.HK,,Eaton Vance Management,785600,0.0041,
9988.HK,,"KCGI Asset Management Co., Ltd",780000,0.0041,
9988.HK,,AHAM Asset Management Berhad,762015,0.004,
9988.HK,,ID-Sparinvest A/S,752400,0.0039,
9988.HK,,Evans (John Michael),748000,0.0039,
9988.HK,,"Thompson, Siegel & Walmsley LLC",747573,0.0039,
9988.HK,,"China Life AMP Asset Management Co., Ltd",746900,0.0039,
9988.HK,,Liontrust Investment Partners LLP,744695,0.0039,
9988.HK,,"CIBC Private Wealth Advisors, Inc.",742000,0.0039,
9988.HK,,BNP Paribas Asset Management Nederland N.V.,739600,0.0039,
9988.HK,,GAM (Luxembourg) S.A.,730900,0.0038,
9988.HK,,Mirae Asset Global Investments (USA) LLC,729356,0.0038,
9988.HK,,GAM Investment Management (Switzerland) AG,726447,0.0038,
9988.HK,,Oddo BHF Asset Management GmbH,725000,0.0038,
9988.HK,,Lombard Odier (Hong Kong) Limited,722750,0.0038,
9988.HK,,FundRock Management Company S.A.,718600,0.0037,
9988.HK,,Wellington Management Singapore Pte. Ltd.,715500,0.0037,
9988.HK,,CA Indosuez (Switzerland) S.A.,706900,0.0037,
9988.HK,,"Broad Asset Management Co., Ltd",703900,0.0037,
9988.HK,,"T. Rowe Price Investment Management, Inc.",703880,0.0037,
9988.HK,,First Sentier Investors (Singapore),695900,0.0036,
9988.HK,,Spuerkeess Asset Management,692500,0.0036,
9988.HK,,"Daiwa Asset Management Co., Ltd.",689221,0.0036,
9988.HK,,Scottish Equity Partners LLP,686500,0.0036,
9988.HK,,Sparinvest S.A.,675000,0.0035,
9988.HK,,Seligson & Co Rahastoyhtiö Oyj,674300,0.0035,
9988.HK,,Quilter Investors Limited,673600,0.0035,
9988.HK,,AMF Tjänstepension AB,672100,0.0035,
9988.HK,,Capital International Sarl,665900,0.0035,
9988.HK,,OP Varainhoito Oy,658552,0.0034,
9988.HK,,CIBC Asset Management Inc.,655953,0.0034,
9988.HK,,Assenagon Asset Management S.A.,652307,0.0034,
9988.HK,,MSC Australia Limited,640600,0.0033,
9988.HK,,HSZ (Hong Kong) Limited,635500,0.0033,
9988.HK,,ARCA Fondi SGR S.p.A,622700,0.0032,
9988.HK,,Taunus Trust GmbH,620500,0.0032,
9988.HK,,DBS Bank Ltd.,615012,0.0032,
9988.HK,,"E Fund Management (HK) Co., Ltd.",614139,0.0032,
9988.HK,,Arabesque Asset Management Ltd,604700,0.0032,
9988.HK,,Greenwoods Asset Management Limited,603956,0.0031,
9988.HK,,Erste Asset Management GmbH,600000,0.0031,
9988.HK,,ClariVest Asset Management LLC,598400,0.0031,
9988.HK,,First Sentier Investors,596500,0.0031,
9988.HK,,"Lord, Abbett & Co. LLC",595857,0.0031,
9988.HK,,"Golden Eagle Asset Management Co., Ltd.",591300,0.0031,
9988.HK,,Kenanga Investors Berhad,589796,0.0031,
9988.HK,,Canada Life Asset Management Limited,585600,0.0031,
9988.HK,,Sanlam Investment Management (Pty) Ltd.,582941,0.003,
9988.HK,,"Zhongtai Securities (Shanghai) Asset Management Co., Ltd.",580300,0.003,
9988.HK,,State Street Investment Management France S.A.,579300,0.003,
9988.HK,,JPMorgan Asset Management (Japan) Limited,576505,0.003,
9988.HK,,"Cinda Fund Management Co., Ltd.",572300,0.003,
9988.HK,,AFH Wealth Management,569500,0.003,
9988.HK,,Waystone Management (UK) Limited,561076,0.0029,
9988.HK,,"Bank of China Investment Management Co., Ltd.",557930,0.0029,
9988.HK,,Calamos Advisors LLC,553500,0.0029,
9988.HK,,Union Investment Privatfonds GmbH,550000,0.0029,
9988.HK,,Momentum Global Investment Management Limited,549308,0.0029,
9988.HK,,"Polen Capital Management, LLC",533705,0.0028,
9988.HK,,Econopolis Wealth Management NV,531875,0.0028,
9988.HK,,Misra (Kabir),528800,0.0028,
9988.HK,,ABN AMRO Investment Solutions (AAIS),528120,0.0028,
9988.HK,,"Everbright Securities Asset Management Co., Ltd.",526307,0.0027,
9988.HK,,BNP Paribas Asset Management Belgium S.A.,524800,0.0027,
9988.HK,,Rothschild Martin Maurel,522325,0.0027,
9988.HK,,"China Universal Asset Management (Hong Kong) Co., Ltd.",520000,0.0027,
9988.HK,,Lombard Odier Asset Management (Europe) Ltd,519917,0.0027,
9988.HK,,Standard Life Assurance Limited,518249,0.0027,
9988.HK,,DSP Investment Managers Pvt. Ltd.,517500,0.0027,
9988.HK,,Redwheel,516791,0.0027,
9988.HK,,Candriam Belgium S.A.,516000,0.0027,
9988.HK,,"PengYang Asset Management Co., Ltd",512300,0.0027,
9988.HK,,OFI Invest Asset Management,510000,0.0027,
9988.HK,,La Financière de l'Echiquier,502992,0.0026,
9988.HK,,"GF Securities Asset Management (Guangdong) Co., Ltd.",502957,0.0026,
9988.HK,,Abax Investments (Pty) Limited,500000,0.0026,
9988.HK,,AMF Fonder AB,495100,0.0026,
9988.HK,,"Xingyin Fund Management Co., Ltd.",493000,0.0026,
9988.HK,,"Baoying Fund Management Co., Ltd.",489939,0.0026,
9988.HK,,"Rakuten Investment Management, Inc.",487588,0.0025,
